,RXCUI,ATC
1034,849522,H01BA02
1035,1091147,N06BA04
1036,405048,D11AX11
1037,1237057,N01AH01
1038,1237057,N02AB03
1039,71974,C03CA04
1040,1043048,D01AE12
1041,1043048,S01BC08
1042,313408,C07AA06
1043,313408,S01ED01
1044,1940332,L01XX59
1045,1049143,R01BA02
1046,607026,N03AX16
1047,1369713,L04AX06
1048,1737345,C01BB01
1049,1737345,C05AD01
1050,1737345,D04AB01
1051,1737345,N01BB02
1052,1737345,R02AD02
1053,1737345,S01HA07
1054,1737345,S02DA01
1055,1251619,B05CA01
1056,1251619,D08AJ03
1057,1251619,D09AA07
1058,1251619,R02AA06
1059,308377,G01AD03
1060,308377,S01XA15
1061,308377,A11GA01
1062,213322,N02CC04
1063,1868494,C01DA02
1064,1868494,C05AE01
1065,213460,J05AF06
1066,284407,L02AE02
1067,1795610,B05CX01
1068,1795610,V04CA02
1069,1795610,V06DC01
1070,1365842,N03AF02
1071,3616,C01CA07
1072,204426,S01FA06
1073,1804806,B01AD02
1074,1804806,S01XA13
1075,1312589,N06BA04
1076,1099670,N03AG01
1077,1729584,N01AH06
1078,41127,C10AA04
1079,885257,A02BC02
1080,1807634,A12CA01
1081,1807634,B05CB01
1082,1807634,B05XA03
1083,213342,P02CC01
1084,352199,C09CA08
1085,857350,N02BE01
1086,857350,R05DA03
1087,1359492,N04BC09
1088,1000097,D04AX01
1089,1000097,N06AA12
1090,1431237,N05AE05
1091,310248,L01CB01
1092,1729027,B01AC27
1093,42896,C05BB04
1094,1008643,A16AA06
1095,1008643,A09AA03
1096,6926,C01BB02
1097,831209,C08DB01
1098,831209,C05AE03
1099,1791240,C08DB01
1100,1791240,C05AE03
1101,197948,D05AD02
1102,197948,D05BA02
1103,261353,J01EA01
1104,261163,A01AB18
1105,261163,D01AC01
1106,261163,G01AF02
1107,861652,C10AA08
1108,202589,L01AA01
1109,307296,M01AH05
1110,1808549,A08AA11
1111,1869344,D03AX05
1112,1869344,M09AX01
1113,1869344,R01AX09
1114,1869344,S01KA01
1115,219462,D11AX10
1116,219462,G04CB01
1117,1145114,D10AX03
1118,1145114,A11HA01
1119,1145114,V04CX02
1120,1145114,B03BB01
1121,1145114,A11HA02
1122,312674,N01AX10
